"State","Date","Population"
"LA",2016-07-10,4677948.21917808
"LA",2016-07-11,4677927.46575342
"LA",2016-07-12,4677906.71232877
"LA",2016-07-13,4677885.95890411
"LA",2016-07-14,4677865.20547945
"LA",2016-07-15,4677844.45205479
"LA",2016-07-16,4677823.69863014
"LA",2016-07-17,4677802.94520548
"LA",2016-07-18,4677782.19178082
"LA",2016-07-19,4677761.43835616
"LA",2016-07-20,4677740.68493151
"LA",2016-07-21,4677719.93150685
"LA",2016-07-22,4677699.17808219
"LA",2016-07-23,4677678.42465753
"LA",2016-07-24,4677657.67123288
"LA",2016-07-25,4677636.91780822
"LA",2016-07-26,4677616.16438356
"LA",2016-07-27,4677595.4109589
"LA",2016-07-28,4677574.65753425
"LA",2016-07-29,4677553.90410959
"LA",2016-07-30,4677533.15068493
"LA",2016-07-31,4677512.39726027
"LA",2016-08-01,4677491.64383562
"LA",2016-08-02,4677470.89041096
"LA",2016-08-03,4677450.1369863
"LA",2016-08-04,4677429.38356164
"LA",2016-08-05,4677408.63013699
"LA",2016-08-06,4677387.87671233
"LA",2016-08-07,4677367.12328767
"LA",2016-08-08,4677346.36986301
"LA",2016-08-09,4677325.61643836
"LA",2016-08-10,4677304.8630137
"LA",2016-08-11,4677284.10958904
"LA",2016-08-12,4677263.35616438
"LA",2016-08-13,4677242.60273973
"LA",2016-08-14,4677221.84931507
"LA",2016-08-15,4677201.09589041
"LA",2016-08-16,4677180.34246575
"LA",2016-08-17,4677159.5890411
"LA",2016-08-18,4677138.83561644
"LA",2016-08-19,4677118.08219178
"LA",2016-08-20,4677097.32876712
"LA",2016-08-21,4677076.57534247
"LA",2016-08-22,4677055.82191781
"LA",2016-08-23,4677035.06849315
"LA",2016-08-24,4677014.31506849
"LA",2016-08-25,4676993.56164384
"LA",2016-08-26,4676972.80821918
"LA",2016-08-27,4676952.05479452
"LA",2016-08-28,4676931.30136986
"LA",2016-08-29,4676910.54794521
"LA",2016-08-30,4676889.79452055
"LA",2016-08-31,4676869.04109589
"LA",2016-09-01,4676848.28767123
"LA",2016-09-02,4676827.53424658
"LA",2016-09-03,4676806.78082192
"LA",2016-09-04,4676786.02739726
"LA",2016-09-05,4676765.2739726
"LA",2016-09-06,4676744.52054795
"LA",2016-09-07,4676723.76712329
"LA",2016-09-08,4676703.01369863
"LA",2016-09-09,4676682.26027397
"LA",2016-09-10,4676661.50684932
"LA",2016-09-11,4676640.75342466
"LA",2016-09-12,4676620
"LA",2016-09-13,4676599.24657534
"LA",2016-09-14,4676578.49315068
"LA",2016-09-15,4676557.73972603
"LA",2016-09-16,4676536.98630137
