"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2015,"NE",1,2631876,1081701,1522164,7106,8,1340052,8072,8,7,378,994849
2015,"NE",2,2570048,331536,1522164,2178,9,1340052,2474,9,7,122,313546
2015,"NE",3,45446000,2045070,1522164,13435,2,1340052,15261,2,7,48,2181408
2015,"NE",4,0,3458307,1522164,22720,6,1340052,25807,6,0,0,3489803
2015,"NV",1,7407642,3044541,2350333,12954,1,2105264,14462,1,1,381,2822311
2015,"NV",2,12044097,1553688,2350333,6611,2,2105264,7380,2,1,123,1481424
2015,"NV",3,72566303,3265484,2350333,13894,2,2105264,15511,2,1,47,3410616
2015,"NV",4,0,7863713,2350333,33458,1,2105264,37353,1,0,0,7714351
2015,"NH",1,5393656,2216793,1137675,19485,1,1013892,21864,1,3,372,2006440
2015,"NH",2,7725895,996640,1137675,8760,1,1013892,9830,1,3,123,950285
2015,"NH",3,47399000,2132955,1137675,18748,1,1013892,21037,1,7,48,2275152
2015,"NH",4,0,5346388,1137675,46994,1,1013892,52731,1,0,0,5231877
2015,"NJ",1,16614633,6828614,7353890,9286,4,6561519,10407,4,3,380,6313560
2015,"NJ",2,34450044,4444056,7353890,6043,2,6561519,6773,2,3,122,4202905
2015,"NJ",3,137429331,6184320,7353890,8410,10,6561519,9425,10,3,48,6596608
2015,"NJ",4,0,17456990,7353890,23738,5,6561519,26605,5,0,0,17113073
2015,"NM",1,3230412,1327699,1703627,7793,6,1507135,8809,6,1,381,1230787
2015,"NM",2,3940050,508266,1703627,2983,7,1507135,3372,7,1,123,484626
2015,"NM",3,38650249,1739261,1703627,10209,7,1507135,11540,7,1,48,1855212
