"Year","State","Type_of_beverage","Gallons_of_beverage","Gallons_of_ethanol","Population","Gallons_of_ethanol_per_capita_age_14_and_older","Decile_for_per_capita_consumption_age_14_and_older","Population_.age_21_and_older.","Gallons_of_ethanol_per_capita_age_21_and_older","Decile_for_per_capita_consumption_age_21_and_older","Type_of_data_source","Time.varying_alcohol_by_volume_.ABV.","Gallons_of_ethanol_derived_from_time.varying_ABV"
2016,"NJ",1,16656058,6845640,7365742,9294,4,6582564,10400,4,1,383,6379270
2016,"NJ",2,34027087,4389494,7365742,5959,2,6582564,6668,3,3,123,4185332
2016,"NJ",3,135941064,6117348,7365742,8305,10,6582564,9293,10,3,48,6525171
2016,"NJ",4,0,17352482,7365742,23558,6,6582564,26361,6,0,0,17089773
2016,"NM",1,3504217,1440233,1710437,8420,6,1515188,9505,6,1,387,1356132
2016,"NM",2,4110146,530209,1710437,3100,8,1515188,3499,8,1,123,505548
2016,"NM",3,41978517,1889033,1710437,11044,6,1515188,12467,6,1,48,2014969
2016,"NM",4,0,3859475,1710437,22564,7,1515188,25472,7,0,0,3876649
2016,"NY",1,31430692,12918014,16436245,7859,7,14729561,8770,7,1,387,12163678
2016,"NY",2,67598424,8720197,16436245,5305,3,14729561,5920,3,1,122,8247008
2016,"NY",3,332575821,14965912,16436245,9105,10,14729561,10160,10,1,48,15963639
2016,"NY",4,0,36604123,16436245,22270,8,14729561,24851,8,0,0,36374325
2016,"NC",1,13121841,5393077,8392526,6426,10,7447845,7241,10,6,376,4933812
2016,"NC",2,28089885,3623595,8392526,4318,5,7447845,4865,5,2,124,3483146
2016,"NC",3,195506519,8797793,8392526,10483,7,7447845,11813,7,2,48,9384313
2016,"NC",4,0,17814465,8392526,21227,9,7447845,23919,9,0,0,17801271
2016,"ND",1,1931740,793945,613501,12941,1,545089,14565,1,1,383,739856
2016,"ND",2,1600963,206524,613501,3366,7,545089,3789,7,1,122,195318
2016,"ND",3,20573812,925822,613501,15091,1,545089,16985,1,1,46,946395
2016,"ND",4,0,1926291,613501,31398,1,545089,35339,1,0,0,1881569
2016,"OH",1,13600000,5589600,9629829,5804,10,8559740,6530,10,3,382,5195200
2016,"OH",2,22788137,2939670,9629829,3053,8,8559740,3434,8,7,123,2802941
2016,"OH",3,245520000,11048400,9629829,11473,5,8559740,12907,5,7,48,11784960
2016,"OH",4,0,19577670,9629829,20330,9,8559740,22872,9,0,0,19783101
2016,"OK",1,4936265,2028805,3175608,6389,10,2806929,7228,10,7,390,1925143
2016,"OK",2,4816338,621308,3175608,1957,10,2806929,2213,10,7,123,592410
2016,"OK",3,74307000,3343815,3175608,10530,7,2806929,11913,7,7,47,3492429
2016,"OK",4,0,5993928,3175608,18875,10,2806929,21354,10,0,0,6009982
2016,"OR",1,7611873,3128480,3417922,9153,5,3073304,10180,5,6,378,2877288
2016,"OR",2,15910059,2052398,3417922,6005,2,3073304,6678,2,1,123,1956937
2016,"OR",3,94124465,4235601,3417922,12392,4,3073304,13782,4,1,49,4612099
2016,"OR",4,0,9416478,3417922,27550,3,3073304,30640,3,0,0,9446324
2016,"PA",1,18809273,7730611,10736516,7200,8,9592344,8059,8,3,367,6903003
2016,"PA",2,27229516,3512608,10736516,3272,7,9592344,3662,7,3,123,3349230
2016,"PA",3,312418000,14058810,10736516,13094,2,9592344,14656,3,7,47,14683646
2016,"PA",4,0,25302029,10736516,23566,5,9592344,26377,6,0,0,24935879
2016,"RI",1,2296880,944018,898180,10510,3,795731,11864,3,3,377,865924
2016,"RI",2,4022413,518891,898180,5777,3,795731,6521,3,3,123,494757
2016,"RI",3,18700074,841503,898180,9369,9,795731,10575,9,3,48,897604
2016,"RI",4,0,2304412,898180,25656,4,795731,28960,4,0,0,2258285
2016,"SC",1,8006126,3290518,4110022,8006,6,3663479,8982,6,7,393,3146407
2016,"SC",2,8097303,1044552,4110022,2541,8,3663479,2851,9,7,123,995968
2016,"SC",3,107477000,4836465,4110022,11767,4,3663479,13202,4,7,48,5158896
2016,"SC",4,0,9171535,4110022,22315,7,3663479,25035,7,0,0,9301271
2016,"SD",1,1862985,765687,693682,11038,3,614050,12469,3,1,385,717249
2016,"SD",2,1688442,217809,693682,3140,7,614050,3547,7,1,123,207678
2016,"SD",3,22537000,1014165,693682,14620,1,614050,16516,1,7,47,1059239
2016,"SD",4,0,1997661,693682,28798,3,614050,32533,3,0,0,1984166
2016,"TN",1,10569108,4343903,5486264,7918,6,4895984,8872,6,2,392,4143090
2016,"TN",2,13874785,1789847,5486264,3262,7,4895984,3656,7,2,123,1706599
2016,"TN",3,124792518,5615663,5486264,10236,7,4895984,11470,7,2,48,5990041
2016,"TN",4,0,11749414,5486264,21416,8,4895984,23998,8,0,0,11839730
2016,"TX",1,37351664,15351534,22240987,6902,9,19472186,7884,9,1,385,14380391
2016,"TX",2,59177073,7633842,22240987,3432,6,19472186,3920,6,1,122,7219603
2016,"TX",3,642607594,28917342,22240987,13002,3,19472186,14851,2,1,46,29559949
2016,"TX",4,0,51902718,22240987,23337,6,19472186,26655,5,0,0,51159943
2016,"UT",1,2962241,1217481,2319942,5248,10,1989055,6121,10,1,372,1101954
2016,"UT",2,3416005,440665,2319942,1899,10,1989055,2215,10,1,123,420169
2016,"UT",3,32457000,1460565,2319942,6296,10,1989055,7343,10,7,47,1525479
2016,"UT",4,0,3118711,2319942,13443,10,1989055,15679,10,0,0,3047602
2016,"VT",1,948793,389954,534279,7299,8,473798,8230,8,6,375,355798
2016,"VT",2,3273595,422294,534279,7904,1,473798,8913,1,2,123,402652
2016,"VT",3,18600000,837000,534279,15666,1,473798,17666,1,7,49,911400
2016,"VT",4,0,1649248,534279,30869,2,473798,34809,2,0,0,1669850
2016,"VA",1,11177474,4593942,6963140,6598,9,6206515,7402,9,1,375,4191553
2016,"VA",2,26246081,3385744,6963140,4862,4,6206515,5455,4,1,123,3228268
2016,"VA",3,154230673,6940380,6963140,9967,8,6206515,11182,8,1,47,7248842
2016,"VA",4,0,14920067,6963140,21427,8,6206515,24039,8,0,0,14668663
2016,"WA",1,11355095,4666944,6021257,7751,7,5400761,8641,7,3,383,4349001
2016,"WA",2,24417209,3149820,6021257,5231,4,5400761,5832,4,7,123,3003317
2016,"WA",3,128030000,5761350,6021257,9568,9,5400761,10668,9,7,48,6145440
2016,"WA",4,0,13578114,6021257,22550,7,5400761,25141,7,0,0,13497758
2016,"WV",1,1729675,710897,1543045,4607,10,1389889,5115,10,6,372,643439
2016,"WV",2,1289462,166341,1543045,1078,10,1389889,1197,10,7,123,158604
2016,"WV",3,40951000,1842795,1543045,11943,4,1389889,13259,4,7,47,1924697
2016,"WV",4,0,2720033,1543045,17628,10,1389889,19570,10,0,0,2726740
2016,"WI",1,14190828,5832430,4784116,12191,2,4249321,13726,2,1,385,5463469
2016,"WI",2,14980819,1932526,4784116,4039,5,4249321,4548,5,1,124,1857622
2016,"WI",3,144956000,6523020,4784116,13635,2,4249321,15351,2,7,47,6812932
2016,"WI",4,0,14287976,4784116,29865,2,4249321,33624,2,0,0,14134023
2016,"WY",1,1355934,557289,474926,11734,2,423555,13157,2,6,372,504407
2016,"WY",2,1171661,151144,474926,3182,7,423555,3568,7,6,123,144114
2016,"WY",3,12498350,562426,474926,11842,4,423555,13279,4,1,48,599921
2016,"WY",4,0,1270859,474926,26759,4,423555,30005,4,0,0,1248442
2017,"AL",1,6534994,2685883,4033404,6659,9,3589975,7482,9,6,377,2463693
2017,"AL",2,8120439,1047537,4033404,2597,8,3589975,2918,8,7,119,966332
2017,"AL",3,95790000,4310550,4033404,10687,6,3589975,12007,6,7,48,4597920
2017,"AL",4,0,8043970,4033404,19943,9,3589975,22407,9,0,0,8027945
2017,"AZ",1,11075121,4551875,5781233,7874,7,5127245,8878,7,7,388,4297147
2017,"AZ",2,17599437,2270327,5781233,3927,6,5127245,4428,6,7,119,2094333
2017,"AZ",3,142662000,6419790,5781233,11105,5,5127245,12521,5,7,47,6705114
2017,"AZ",4,0,13241992,5781233,22905,6,5127245,25827,6,0,0,13096594
2017,"AR",1,3987369,1638809,2456454,6671,9,2178884,7521,9,2,388,1547099
2017,"AR",2,4335841,559324,2456454,2277,9,2178884,2567,9,2,120,520301
2017,"AR",3,50336208,2265129,2456454,9221,9,2178884,10396,9,2,48,2416138
2017,"AR",4,0,4463261,2456454,18170,10,2178884,20484,10,0,0,4483538
2017,"CA",1,61834884,25414137,32384367,7848,8,28810303,8821,7,3,387,23930100
2017,"CA",2,145968709,18829963,32384367,5815,3,28810303,6536,3,3,118,17224308
2017,"CA",3,679722660,30587520,32384367,9445,8,28810303,10617,8,3,48,32626688
2017,"CA",4,0,74831620,32384367,23107,6,28810303,25974,6,0,0,73781096
2017,"CO",1,13402350,5508366,4637587,11878,2,4136264,13317,2,1,382,5119698
2017,"CO",2,18484784,2384537,4637587,5142,4,4136264,5765,4,1,118,2181205
2017,"CO",3,117581885,5291185,4637587,11409,5,4136264,12792,5,1,48,5643930
2017,"CO",4,0,13184088,4637587,28429,3,4136264,31874,3,0,0,12944833
2017,"CT",1,7229512,2971329,3016225,9851,4,2674235,11111,4,1,380,2747215
2017,"CT",2,14084084,1816847,3016225,6024,2,2674235,6794,2,1,119,1676006
2017,"CT",3,54947862,2472654,3016225,8198,10,2674235,9246,10,1,48,2637497
2017,"CT",4,0,7260830,3016225,24073,5,2674235,27151,5,0,0,7060718
2017,"DE",1,3403559,1398863,800081,17484,1,716681,19519,1,1,383,1303563
2017,"DE",2,4465122,576001,800081,7199,1,716681,8037,1,1,119,531349
2017,"DE",3,20485731,921858,800081,11522,4,716681,12863,4,1,48,983315
2017,"DE",4,0,2896721,800081,36205,1,716681,40419,1,0,0,2818227
2017,"DC",1,2421941,995418,591537,16828,1,538601,18482,1,7,393,951823
2017,"DC",2,4688426,604807,591537,10224,1,538601,11229,1,7,118,553234
2017,"DC",3,14446000,650070,591537,10990,6,538601,12070,6,7,48,693408
2017,"DC",4,0,2250295,591537,38041,1,538601,41780,1,0,0,2198465
2017,"FL",1,44732384,18385010,17736450,10366,3,16060840,11447,3,1,386,17266700
2017,"FL",2,72107578,9301878,17736450,5244,4,16060840,5792,4,1,118,8508694
2017,"FL",3,421631202,18973404,17736450,10697,6,16060840,11813,6,1,47,19816667
2017,"FL",4,0,46660291,17736450,26308,4,16060840,29052,4,0,0,45592061
2017,"GA",1,14548536,5979448,8483675,7048,9,7478641,7995,9,7,390,5673929
2017,"GA",2,16428929,2119332,8483675,2498,9,7478641,2834,8,7,119,1955043
2017,"GA",3,183985000,8279325,8483675,9759,8,7478641,11071,7,7,48,8831280
2017,"GA",4,0,16378105,8483675,19305,10,7478641,21900,10,0,0,16460252
2017,"ID",1,2734487,1123874,1376512,8165,6,1207318,9309,6,6,375,1025433
2017,"ID",2,12699667,1638257,1376512,11902,1,1207318,13569,1,2,119,1511260
2017,"ID",3,27670897,1245190,1376512,9046,9,1207318,10314,9,2,47,1300532
2017,"ID",4,0,4007322,1376512,29112,2,1207318,33192,2,0,0,3837225
2017,"IL",1,21398369,8794730,10564100,8325,6,9397836,9358,6,1,384,8216974
2017,"IL",2,36749257,4740654,10564100,4488,5,9397836,5044,5,1,117,4299663
2017,"IL",3,257845160,11603032,10564100,10983,6,9397836,12346,6,1,47,12118723
2017,"IL",4,0,25138416,10564100,23796,5,9397836,26749,5,0,0,24635360
2017,"IN",1,11314020,4650062,5450136,8532,5,4808742,9670,5,1,382,4321956
2017,"IN",2,12317630,1588974,5450136,2915,8,4808742,3304,8,1,119,1465798
2017,"IN",3,117419723,5283888,5450136,9695,8,4808742,10988,8,1,47,5518727
2017,"IN",4,0,11522924,5450136,21142,8,4808742,23962,8,0,0,11306481
2017,"IA",1,5588861,2297022,2575986,8917,5,2273888,10102,5,3,367,2051112
2017,"IA",2,4762056,614305,2575986,2385,9,2273888,2702,9,3,118,561923
2017,"IA",3,72659607,3269682,2575986,12693,3,2273888,14379,3,3,46,3342342
2017,"IA",4,0,6181009,2575986,23995,5,2273888,27183,5,0,0,5955377
2017,"KS",1,4601558,1891240,2357971,8021,6,2074355,9117,6,2,386,1776201
2017,"KS",2,2632353,339574,2357971,1440,10,2074355,1637,10,7,118,310618
2017,"KS",3,53915283,2426188,2357971,10289,7,2074355,11696,7,2,48,2587934
2017,"KS",4,0,4657002,2357971,19750,9,2074355,22450,9,0,0,4674753
2017,"KY",1,7328339,3011947,3671763,8203,6,3269124,9213,6,2,392,2872709
2017,"KY",2,5940596,766337,3671763,2087,9,3269124,2344,9,2,119,706931
2017,"KY",3,77009803,3465441,3671763,9438,9,3269124,10601,9,2,48,3696471
2017,"KY",4,0,7243725,3671763,19728,9,3269124,22158,9,0,0,7276111
2017,"LA",1,9228373,3792861,3808289,9959,4,3391107,11185,4,1,387,3571380
2017,"LA",2,9894511,1276392,3808289,3352,7,3391107,3764,7,1,119,1177447
2017,"LA",3,104842000,4717890,3808289,12388,3,3391107,13913,3,7,47,4927574
2017,"LA",4,0,9787143,3808289,25700,5,3391107,28861,5,0,0,9676401
2017,"ME",1,2936031,1206709,1143226,10555,3,1034604,11663,3,6,365,1071651
2017,"ME",2,3916682,505252,1143226,4420,5,1034604,4884,5,7,118,462168
2017,"ME",3,34317000,1544265,1143226,13508,2,1034604,14926,2,7,49,1681533
2017,"ME",4,0,3256226,1143226,28483,3,1034604,31473,3,0,0,3215352
2017,"MD",1,11210391,4607471,4985226,9242,5,4453372,10346,5,3,387,4338421
2017,"MD",2,15449584,1992996,4985226,3998,6,4453372,4475,6,3,119,1838500
2017,"MD",3,90649155,4079212,4985226,8183,10,4453372,9160,10,1,48,4351159
2017,"MD",4,0,10679679,4985226,21423,8,4453372,23981,8,0,0,10528080
2017,"MA",1,13788591,5667111,5819585,9738,4,5179944,10940,4,1,380,5239665
2017,"MA",2,29569013,3814403,5819585,6554,2,5179944,7364,2,1,119,3518712
2017,"MA",3,122373231,5506795,5819585,9463,8,5179944,10631,8,1,48,5873915
2017,"MA",4,0,14988309,5819585,25755,4,5179944,28935,4,0,0,14632292
2017,"MI",1,18872111,7756438,8315291,9328,5,7390861,10495,5,6,374,7058170
2017,"MI",2,25515048,3291441,8315291,3958,6,7390861,4453,6,1,118,3010776
2017,"MI",3,186716677,8402250,8315291,10105,7,7390861,11368,7,1,48,8962401
2017,"MI",4,0,19450129,8315291,23391,6,7390861,26316,6,0,0,19031347
2017,"MN",1,13152359,5405620,4557441,11861,2,4057955,13321,2,1,383,5037354
2017,"MN",2,15587965,2010848,4557441,4412,5,4057955,4955,5,1,118,1839380
2017,"MN",3,116096993,5224365,4557441,11463,4,4057955,12874,4,1,48,5572656
2017,"MN",4,0,12640832,4557441,27737,3,4057955,31151,3,0,0,12449390
2017,"MS",1,4590822,1886828,2438702,7737,8,2150188,8775,7,6,375,1721558
2017,"MS",2,3331396,429750,2438702,1762,10,2150188,1999,10,6,118,393105
2017,"MS",3,67642000,3043890,2438702,12482,3,2150188,14156,3,7,48,3246816
2017,"MS",4,0,5360468,2438702,21981,7,2150188,24930,7,0,0,5361479
2017,"MO",1,12377565,5087179,5040135,10093,3,4489388,11332,3,2,384,4752985
2017,"MO",2,15149855,1954331,5040135,3878,6,4489388,4353,6,2,119,1802833
2017,"MO",3,127055211,5717485,5040135,11344,5,4489388,12736,5,2,47,5971595
2017,"MO",4,0,12758995,5040135,25315,5,4489388,28420,5,0,0,12527413
2017,"MT",1,2080650,855147,874355,9780,4,784154,10905,4,3,378,786486
2017,"MT",2,3470625,447711,874355,5120,4,784154,5709,4,1,118,409534
2017,"MT",3,31229431,1405324,874355,16073,1,784154,17922,1,1,49,1530242
2017,"MT",4,0,2708182,874355,30973,2,784154,34536,2,0,0,2726262
2017,"NE",1,2718073,1117128,1545374,7229,8,1361122,8207,8,7,383,1041022
2017,"NE",2,2607950,336426,1545374,2177,9,1361122,2472,9,7,119,310346
2017,"NE",3,43307000,1948815,1545374,12611,3,1361122,14318,3,7,48,2078736
2017,"NE",4,0,3402369,1545374,22016,7,1361122,24997,7,0,0,3430104
2017,"NV",1,8687608,3570607,2442587,14618,1,2193980,16275,1,7,385,3344729
2017,"NV",2,11547642,1489646,2442587,6099,2,2193980,6790,2,7,119,1374169
2017,"NV",3,75795000,3410775,2442587,13964,2,2193980,15546,2,7,47,3562365
2017,"NV",4,0,8471028,2442587,34681,1,2193980,38610,1,0,0,8281263
2017,"NH",1,5653260,2323490,1154341,20128,1,1033482,22482,1,3,374,2114319
2017,"NH",2,7803934,1006707,1154341,8721,1,1033482,9741,1,3,119,928668
2017,"NH",3,46996000,2114820,1154341,18321,1,1033482,20463,1,7,48,2255808
2017,"NH",4,0,5445017,1154341,47170,1,1033482,52686,1,0,0,5298795
2017,"NJ",1,17267015,7096743,7386046,9608,4,6606650,10742,4,1,383,6613267
2017,"NJ",2,34073776,4395517,7386046,5951,2,6606650,6653,2,3,119,4054779
2017,"NJ",3,131935994,5937120,7386046,8038,10,6606650,8987,10,3,48,6332928
2017,"NJ",4,0,17429380,7386046,23598,6,6606650,26382,6,0,0,17000974
2017,"NM",1,3381556,1389820,1716583,8096,6,1521868,9132,6,1,387,1308662
2017,"NM",2,3929425,506896,1716583,2953,8,1521868,3331,8,1,119,467602
2017,"NM",3,40146699,1806601,1716583,10524,6,1521868,11871,6,1,48,1927042
2017,"NM",4,0,3703317,1716583,21574,8,1521868,24334,8,0,0,3703306
2017,"NY",1,31618931,12995380,16412678,7918,7,14729325,8823,7,1,387,12236526
2017,"NY",2,68378005,8820763,16412678,5374,3,14729325,5989,3,1,118,8068605
2017,"NY",3,328658886,14789650,16412678,9011,10,14729325,10041,10,1,48,15775627
2017,"NY",4,0,36605793,16412678,22303,7,14729325,24852,7,0,0,36080758
2017,"NC",1,13501437,5549091,8501753,6527,10,7551791,7348,10,6,377,5090042
2017,"NC",2,28721127,3705025,8501753,4358,5,7551791,4906,5,2,120,3446535
2017,"NC",3,197559018,8890156,8501753,10457,7,7551791,11772,7,2,48,9482833
2017,"NC",4,0,18144272,8501753,21342,8,7551791,24026,8,0,0,18019410
2017,"ND",1,1943306,798699,613487,13019,1,545584,14639,1,1,385,748173
2017,"ND",2,1599586,206347,613487,3364,6,545584,3782,6,1,118,188751
2017,"ND",3,20614357,927646,613487,15121,1,545584,17003,1,1,47,968875
2017,"ND",4,0,1932691,613487,31503,1,545584,35424,1,0,0,1905799
2017,"OH",1,13998485,5753377,9664706,5953,10,8596836,6692,10,6,384,5375418
2017,"OH",2,23045497,2972869,9664706,3076,7,8596836,3458,7,7,119,2742414
2017,"OH",3,239909000,10795905,9664706,11170,5,8596836,12558,5,7,48,11515632
2017,"OH",4,0,19522151,9664706,20199,9,8596836,22709,9,0,0,19633464
2017,"OK",1,5005526,2057271,3184659,6460,10,2814358,7310,10,7,390,1952155
2017,"OK",2,4839222,624260,3184659,1960,10,2814358,2218,10,7,119,575867
2017,"OK",3,72757000,3274065,3184659,10281,7,2814358,11633,7,7,47,3419579
2017,"OK",4,0,5955596,3184659,18701,10,2814358,21161,10,0,0,5947601
2017,"OR",1,7838219,3221508,3470176,9283,5,3124528,10310,5,6,382,2994200
2017,"OR",2,15955246,2058227,3470176,5931,2,3124528,6587,2,1,119,1898674
2017,"OR",3,95424180,4294088,3470176,12374,4,3124528,13743,4,1,49,4675785
2017,"OR",4,0,9573823,3470176,27589,3,3124528,30641,3,0,0,9568659
2017,"PA",1,18725930,7696357,10750839,7159,9,9615997,8004,9,3,369,6909868
2017,"PA",2,27682059,3570986,10750839,3322,7,9615997,3714,7,3,119,3294165
2017,"PA",3,309876000,13944420,10750839,12971,2,9615997,14501,2,7,47,14564172
2017,"PA",4,0,25211763,10750839,23451,6,9615997,26219,6,0,0,24768205
2017,"RI",1,2380149,978241,899183,10879,3,797644,12264,3,1,377,897316
2017,"RI",2,4069020,524904,899183,5838,3,797644,6581,3,1,119,484213
2017,"RI",3,18566006,835470,899183,9291,9,797644,10474,9,1,48,891168
2017,"RI",4,0,2338615,899183,26008,4,797644,29319,4,0,0,2272697
2017,"SC",1,8103892,3330699,4168672,7990,7,3718366,8957,7,7,393,3184829
2017,"SC",2,8132960,1049152,4168672,2517,8,3718366,2822,9,7,119,967822
2017,"SC",3,105679000,4755555,4168672,11408,5,3718366,12789,5,7,48,5072592
2017,"SC",4,0,9135406,4168672,21914,7,3718366,24568,7,0,0,9225243
2017,"SD",1,1747279,718131,702123,10228,3,621675,11552,3,1,384,670955
2017,"SD",2,1613749,208174,702123,2965,8,621675,3349,8,1,119,192036
2017,"SD",3,23912959,1076083,702123,15326,1,621675,17309,1,1,47,1123909
2017,"SD",4,0,2002388,702123,28519,2,621675,32210,2,0,0,1986900
2017,"TN",1,10890052,4475811,5546500,8070,6,4953474,9036,6,2,392,4268900
2017,"TN",2,13660358,1762186,5546500,3177,7,4953474,3557,7,2,119,1625583
2017,"TN",3,121699133,5476461,5546500,9874,7,4953474,11056,8,2,48,5841558
2017,"TN",4,0,11714458,5546500,21120,9,4953474,23649,9,0,0,11736041
2017,"TX",1,39599719,16275485,22596169,7203,8,19793819,8223,8,1,385,15245892
2017,"TX",2,61572927,7942908,22596169,3515,6,19793819,4013,6,1,118,7265605
2017,"TX",3,636031337,28621410,22596169,12666,3,19793819,14460,2,1,47,29893473
2017,"TX",4,0,52839802,22596169,23384,6,19793819,26695,6,0,0,52404970
2017,"UT",1,3212959,1320526,2377977,5553,10,2037760,6480,10,1,374,1201647
2017,"UT",2,3660661,472225,2377977,1986,10,2037760,2317,10,1,119,435619
2017,"UT",3,32023000,1441035,2377977,6060,10,2037760,7072,10,7,47,1505081
2017,"UT",4,0,3233786,2377977,13599,10,2037760,15869,10,0,0,3142347
2017,"VT",1,971130,399135,536050,7446,8,475920,8387,8,6,377,366116
2017,"VT",2,3322960,428662,536050,7997,1,475920,9007,1,4,119,395432
2017,"VT",3,18445000,830025,536050,15484,1,475920,17440,1,7,49,903805
2017,"VT",4,0,1657822,536050,30927,2,475920,34834,2,0,0,1665353
2017,"VA",1,11477856,4717399,7016219,6724,9,6258130,7538,9,1,375,4304196
2017,"VA",2,26641586,3436765,7016219,4898,4,6258130,5492,4,1,119,3170349
2017,"VA",3,150304209,6763689,7016219,9640,8,6258130,10808,8,1,47,7064298
2017,"VA",4,0,14917853,7016219,21262,8,6258130,23838,8,0,0,14538843
2017,"WA",1,11739243,4824829,6134682,7865,7,5511013,8755,8,3,383,4496130
2017,"WA",2,24557393,3167904,6134682,5164,4,5511013,5748,4,7,119,2922330
2017,"WA",3,127069000,5718105,6134682,9321,9,5511013,10376,9,7,48,6099312
2017,"WA",4,0,13710838,6134682,22350,7,5511013,24879,7,0,0,13517772
2017,"WV",1,1723667,708427,1533470,4620,10,1382019,5126,10,6,373,642928
2017,"WV",2,1294172,166948,1533470,1089,10,1382019,1208,10,7,118,152712
2017,"WV",3,39897000,1795365,1533470,11708,4,1382019,12991,4,7,47,1875159
2017,"WV",4,0,2670740,1533470,17416,10,1382019,19325,10,0,0,2670799
2017,"WI",1,14704031,6043357,4807415,12571,2,4274744,14137,2,1,385,5661052
2017,"WI",2,14997742,1934709,4807415,4024,5,4274744,4526,5,1,119,1784731
2017,"WI",3,141887000,6384915,4807415,13281,2,4274744,14936,2,7,48,6810576
2017,"WI",4,0,14362981,4807415,29877,2,4274744,33600,2,0,0,14256359
2017,"WY",1,1368912,562623,472077,11918,2,420921,13366,2,6,374,511973
2017,"WY",2,1156747,149220,472077,3161,7,420921,3545,7,6,119,137653
2017,"WY",3,12323731,554568,472077,11747,4,420921,13175,4,1,48,591539
2017,"WY",4,0,1266411,472077,26826,4,420921,30087,4,0,0,1241165
2018,"AL",1,6779753,2786478,4047832,6884,9,3606639,7726,9,6,377,2555967
2018,"AL",2,8133103,1049170,4047832,2592,8,3606639,2909,8,7,117,951573
2018,"AL",3,93403000,4203135,4047832,10384,6,3606639,11654,6,7,48,4483344
2018,"AL",4,0,8038783,4047832,19859,9,3606639,22289,9,0,0,7990884
2018,"AZ",1,11315943,4650853,5901635,7881,7,5238099,8879,7,7,388,4390586
2018,"AZ",2,17739463,2288391,5901635,3878,6,5238099,4369,6,7,117,2075517
2018,"AZ",3,141360000,6361200,5901635,10779,6,5238099,12144,5,7,47,6643920
2018,"AZ",4,0,13300444,5901635,22537,7,5238099,25392,7,0,0,13110023
2018,"AR",1,3870060,1590594,2468927,6442,10,2191256,7259,10,2,388,1501583
2018,"AR",2,4491133,579356,2468927,2347,9,2191256,2644,9,2,118,529954
2018,"AR",3,49326863,2219709,2468927,8991,9,2191256,10130,9,2,48,2367689
2018,"AR",4,0,4389660,2468927,17780,10,2191256,20033,10,0,0,4399226
2018,"CA",1,69112143,28405091,32582978,8718,6,29023186,9787,6,7,386,26677287
2018,"CA",2,155591490,20071302,32582978,6160,2,29023186,6916,2,7,117,18204204
2018,"CA",3,727322000,32729490,32582978,10045,7,29023186,11277,7,7,48,34911456
2018,"CA",4,0,81205883,32582978,24923,5,29023186,27980,5,0,0,79792947
2018,"CO",1,14072751,5783901,4718558,12258,2,4210663,13736,2,1,382,5375791
2018,"CO",2,18880184,2435544,4718558,5162,4,4210663,5784,3,1,117,2208982
2018,"CO",3,119269168,5367113,4718558,11374,4,4210663,12746,4,1,48,5724920
2018,"CO",4,0,13586557,4718558,28794,2,4210663,32267,2,0,0,13309693
2018,"CT",1,7430280,3053845,3020675,10110,3,2681657,11388,3,1,381,2830937
2018,"CT",2,13942358,1798564,3020675,5954,2,2681657,6707,2,1,117,1631256
2018,"CT",3,53509143,2407911,3020675,7971,10,2681657,8979,10,1,48,2568439
2018,"CT",4,0,7260321,3020675,24035,5,2681657,27074,5,0,0,7030632
2018,"DE",1,3339625,1372586,810023,16945,1,726161,18902,1,1,383,1279077
2018,"DE",2,4501556,580701,810023,7169,1,726161,7997,1,1,117,526682
2018,"DE",3,19999746,899989,810023,11111,5,726161,12394,5,1,48,959988
2018,"DE",4,0,2853275,810023,35225,1,726161,39293,1,0,0,2765747
2018,"DC",1,2429783,998641,595859,16760,1,543066,18389,1,7,393,954905
2018,"DC",2,4708190,607357,595859,10193,1,543066,11184,1,7,117,550858
2018,"DC",3,14260000,641700,595859,10769,6,543066,11816,6,7,48,684480
2018,"DC",4,0,2247698,595859,37722,1,543066,41389,1,0,0,2190243
2018,"FL",1,45769277,18811173,18031395,10432,3,16343540,11510,3,1,386,17666941
2018,"FL",2,72668597,9374249,18031395,5199,3,16343540,5736,4,1,117,8502226
2018,"FL",3,420138579,18906236,18031395,10485,6,16343540,11568,7,1,48,20166652
2018,"FL",4,0,47091658,18031395,26116,4,16343540,28814,4,0,0,46335819
2018,"GA",1,14700466,6041892,8593113,7031,9,7577687,7973,9,7,390,5733182
2018,"GA",2,16621660,2144194,8593113,2495,8,7577687,2830,8,7,117,1944734
2018,"GA",3,181629000,8173305,8593113,9511,8,7577687,10786,8,7,47,8536563
2018,"GA",4,0,16359391,8593113,19038,10,7577687,21589,10,0,0,16214479
2018,"ID",1,2861998,1176281,1409959,8343,6,1237555,9505,6,6,376,1076111
2018,"ID",2,13218459,1705181,1409959,12094,1,1237555,13779,1,2,117,1546560
2018,"ID",3,28095307,1264289,1409959,8967,9,1237555,10216,9,2,47,1320479
2018,"ID",4,0,4145751,1409959,29403,2,1237555,33500,2,0,0,3943150
2018,"IL",1,21881402,8993256,10549590,8525,6,9391158,9576,6,1,384,8402458
2018,"IL",2,36981447,4770607,10549590,4522,5,9391158,5080,5,1,116,4289848
2018,"IL",3,253397281,11402878,10549590,10809,5,9391158,12142,6,1,47,11909672
2018,"IL",4,0,25166740,10549590,23856,5,9391158,26798,6,0,0,24601978
2018,"IN",1,11944240,4909083,5484881,8950,5,4842337,10138,5,1,382,4562700
