"State","Date","Urban_Mileage"
"AL",2016-10-04,57731.1242833724
"AL",2016-10-05,57731.0015433255
"AL",2016-10-06,57730.8788032787
"AL",2016-10-07,57730.7560632318
"AL",2016-10-08,57730.633323185
"AL",2016-10-09,57730.5105831382
"AL",2016-10-10,57730.3878430913
"AL",2016-10-11,57730.2651030445
"AL",2016-10-12,57730.1423629977
"AL",2016-10-13,57730.0196229508
"AL",2016-10-14,57729.896882904
"AL",2016-10-15,57729.7741428571
"AL",2016-10-16,57729.6514028103
"AL",2016-10-17,57729.5286627635
"AL",2016-10-18,57729.4059227166
"AL",2016-10-19,57729.2831826698
"AL",2016-10-20,57729.1604426229
"AL",2016-10-21,57729.0377025761
"AL",2016-10-22,57728.9149625293
"AL",2016-10-23,57728.7922224824
"AL",2016-10-24,57728.6694824356
"AL",2016-10-25,57728.5467423888
"AL",2016-10-26,57728.4240023419
"AL",2016-10-27,57728.3012622951
"AL",2016-10-28,57728.1785222482
"AL",2016-10-29,57728.0557822014
"AL",2016-10-30,57727.9330421546
"AL",2016-10-31,57727.8103021077
"AL",2016-11-01,57727.6875620609
"AL",2016-11-02,57727.5648220141
"AL",2016-11-03,57727.4420819672
"AL",2016-11-04,57727.3193419204
"AL",2016-11-05,57727.1966018735
"AL",2016-11-06,57727.0738618267
"AL",2016-11-07,57726.9511217799
"AL",2016-11-08,57726.828381733
"AL",2016-11-09,57726.7056416862
"AL",2016-11-10,57726.5829016393
"AL",2016-11-11,57726.4601615925
"AL",2016-11-12,57726.3374215457
"AL",2016-11-13,57726.2146814988
"AL",2016-11-14,57726.091941452
"AL",2016-11-15,57725.9692014051
"AL",2016-11-16,57725.8464613583
"AL",2016-11-17,57725.7237213115
"AL",2016-11-18,57725.6009812646
"AL",2016-11-19,57725.4782412178
"AL",2016-11-20,57725.355501171
"AL",2016-11-21,57725.2327611241
"AL",2016-11-22,57725.1100210773
"AL",2016-11-23,57724.9872810304
"AL",2016-11-24,57724.8645409836
"AL",2016-11-25,57724.7418009368
"AL",2016-11-26,57724.6190608899
"AL",2016-11-27,57724.4963208431
"AL",2016-11-28,57724.3735807963
"AL",2016-11-29,57724.2508407494
"AL",2016-11-30,57724.1281007026
"AL",2016-12-01,57724.0053606557
"AL",2016-12-02,57723.8826206089
"AL",2016-12-03,57723.7598805621
"AL",2016-12-04,57723.6371405152
"AL",2016-12-05,57723.5144004684
"AL",2016-12-06,57723.3916604215
"AL",2016-12-07,57723.2689203747
"AL",2016-12-08,57723.1461803279
"AL",2016-12-09,57723.023440281
"AL",2016-12-10,57722.9007002342
"AL",2016-12-11,57722.7779601873
"AL",2016-12-12,57722.6552201405
"AL",2016-12-13,57722.5324800937
"AL",2016-12-14,57722.4097400468
"AL",2016-12-15,57722.287
"AL",2016-12-16,57730.0439097473
"AL",2016-12-17,57737.8008194946
"AL",2016-12-18,57745.5577292419
"AL",2016-12-19,57753.3146389892
"AL",2016-12-20,57761.0715487365
"AL",2016-12-21,57768.8284584838
"AL",2016-12-22,57776.585368231
"AL",2016-12-23,57784.3422779783
"AL",2016-12-24,57792.0991877256
"AL",2016-12-25,57799.8560974729
"AL",2016-12-26,57807.6130072202
"AL",2016-12-27,57815.3699169675
"AL",2016-12-28,57823.1268267148
"AL",2016-12-29,57830.8837364621
"AL",2016-12-30,57838.6406462094
"AL",2016-12-31,57846.3975559567
"AL",2017-01-01,57854.154465704
"AL",2017-01-02,57861.9113754513
"AL",2017-01-03,57869.6682851986
"AL",2017-01-04,57877.4251949458
"AL",2017-01-05,57885.1821046931
"AL",2017-01-06,57892.9390144404
"AL",2017-01-07,57900.6959241877
"AL",2017-01-08,57908.452833935
"AL",2017-01-09,57916.2097436823
"AL",2017-01-10,57923.9666534296
"AL",2017-01-11,57931.7235631769
"AL",2017-01-12,57939.4804729242
"AL",2017-01-13,57947.2373826715
"AL",2017-01-14,57954.9942924188
"AL",2017-01-15,57962.7512021661
"AL",2017-01-16,57970.5081119134
"AL",2017-01-17,57978.2650216606
"AL",2017-01-18,57986.0219314079
"AL",2017-01-19,57993.7788411552
"AL",2017-01-20,58001.5357509025
"AL",2017-01-21,58009.2926606498
"AL",2017-01-22,58017.0495703971
"AL",2017-01-23,58024.8064801444
"AL",2017-01-24,58032.5633898917
"AL",2017-01-25,58040.320299639
"AL",2017-01-26,58048.0772093863
"AL",2017-01-27,58055.8341191336
"AL",2017-01-28,58063.5910288809
"AL",2017-01-29,58071.3479386282
"AL",2017-01-30,58079.1048483754
"AL",2017-01-31,58086.8617581227
"AL",2017-02-01,58094.61866787
"AL",2017-02-02,58102.3755776173
"AL",2017-02-03,58110.1324873646
"AL",2017-02-04,58117.8893971119
"AL",2017-02-05,58125.6463068592
"AL",2017-02-06,58133.4032166065
"AL",2017-02-07,58141.1601263538
"AL",2017-02-08,58148.9170361011
"AL",2017-02-09,58156.6739458484
"AL",2017-02-10,58164.4308555957
"AL",2017-02-11,58172.187765343
"AL",2017-02-12,58179.9446750902
"AL",2017-02-13,58187.7015848375
"AL",2017-02-14,58195.4584945848
"AL",2017-02-15,58203.2154043321
"AL",2017-02-16,58210.9723140794
"AL",2017-02-17,58218.7292238267
"AL",2017-02-18,58226.486133574
"AL",2017-02-19,58234.2430433213
"AL",2017-02-20,58241.9999530686
"AL",2017-02-21,58249.7568628159
"AL",2017-02-22,58257.5137725632
"AL",2017-02-23,58265.2706823105
"AL",2017-02-24,58273.0275920578
"AL",2017-02-25,58280.7845018051
"AL",2017-02-26,58288.5414115523
"AL",2017-02-27,58296.2983212996
"AL",2017-02-28,58304.0552310469
"AL",2017-03-01,58311.8121407942
"AL",2017-03-02,58319.5690505415
"AL",2017-03-03,58327.3259602888
"AL",2017-03-04,58335.0828700361
"AL",2017-03-05,58342.8397797834
"AL",2017-03-06,58350.5966895307
"AL",2017-03-07,58358.353599278
"AL",2017-03-08,58366.1105090253
"AL",2017-03-09,58373.8674187726
"AL",2017-03-10,58381.6243285199
"AL",2017-03-11,58389.3812382671
"AL",2017-03-12,58397.1381480144
"AL",2017-03-13,58404.8950577617
"AL",2017-03-14,58412.651967509
"AL",2017-03-15,58420.4088772563
"AL",2017-03-16,58428.1657870036
"AL",2017-03-17,58435.9226967509
"AL",2017-03-18,58443.6796064982
"AL",2017-03-19,58451.4365162455
"AL",2017-03-20,58459.1934259928
"AL",2017-03-21,58466.9503357401
"AL",2017-03-22,58474.7072454874
"AL",2017-03-23,58482.4641552347
"AL",2017-03-24,58490.2210649819
"AL",2017-03-25,58497.9779747292
"AL",2017-03-26,58505.7348844765
"AL",2017-03-27,58513.4917942238
"AL",2017-03-28,58521.2487039711
"AL",2017-03-29,58529.0056137184
"AL",2017-03-30,58536.7625234657
"AL",2017-03-31,58544.519433213
"AL",2017-04-01,58552.2763429603
"AL",2017-04-02,58560.0332527076
"AL",2017-04-03,58567.7901624549
"AL",2017-04-04,58575.5470722022
"AL",2017-04-05,58583.3039819495
"AL",2017-04-06,58591.0608916967
"AL",2017-04-07,58598.817801444
"AL",2017-04-08,58606.5747111913
"AL",2017-04-09,58614.3316209386
"AL",2017-04-10,58622.0885306859
"AL",2017-04-11,58629.8454404332
"AL",2017-04-12,58637.6023501805
"AL",2017-04-13,58645.3592599278
"AL",2017-04-14,58653.1161696751
"AL",2017-04-15,58660.8730794224
"AL",2017-04-16,58668.6299891697
"AL",2017-04-17,58676.386898917
"AL",2017-04-18,58684.1438086643
"AL",2017-04-19,58691.9007184116
"AL",2017-04-20,58699.6576281588
"AL",2017-04-21,58707.4145379061
"AL",2017-04-22,58715.1714476534
"AL",2017-04-23,58722.9283574007
"AL",2017-04-24,58730.685267148
"AL",2017-04-25,58738.4421768953
"AL",2017-04-26,58746.1990866426
"AL",2017-04-27,58753.9559963899
"AL",2017-04-28,58761.7129061372
"AL",2017-04-29,58769.4698158845
"AL",2017-04-30,58777.2267256318
"AL",2017-05-01,58784.9836353791
"AL",2017-05-02,58792.7405451264
"AL",2017-05-03,58800.4974548736
"AL",2017-05-04,58808.2543646209
"AL",2017-05-05,58816.0112743682
"AL",2017-05-06,58823.7681841155
"AL",2017-05-07,58831.5250938628
"AL",2017-05-08,58839.2820036101
"AL",2017-05-09,58847.0389133574
"AL",2017-05-10,58854.7958231047
