"State","Year_Month","Acc_PC","Acc_per_RMV","VMT_PC","Rural_Mileage_PC","Urban_Mileage_PC","RMV_PC","Population","Pop_Density","Alc_Cons_PC","Year","Avg_Severity","Month","Rec_Mar_Legal","Sale_Mar_Legal","Med_Mar_Legal","Sale_Mar_Legal_Neighbour","SRC_Bing","SRC_MQ"
"OK",Jan 2017,18.0707771,23.5592513,907.08977,49339.3219354839,10299.9370967742,0.765709716129032,3929048.87096774,57.2789393548387,128737.962,2017,1.54501467741935,1,0,0,0,1,1,0
"OK",Feb 2017,22.1405765,28.7930193,935.75396,49336.785,10312.48,0.769661967857143,3929451.75,57.2848128571429,116267.528,2017,1.76607142857143,2,0,0,0,1,1,0
"OK",Mär 2017,17.303164,21.8761882,1096.22375,49334.2480645161,10325.0174193548,0.788136393548387,3929854.67741935,57.2906864516129,128711.566,2017,1.7241935483871,3,0,0,0,1,1,0
"OK",Apr 2017,24.9349012,30.9547281,1037.8419,49331.6266666667,10337.9793333333,0.807233126666667,3930271.16666667,57.2967596666667,124546.378,2017,1.1575667,4,0,0,0,1,1,0
"OK",Mai 2017,21.3700024,25.7828048,1095.737,49329.004516129,10350.9364516129,0.826325790322581,3930687.74193548,57.3028316129032,128684.285,2017,1.68237496774194,5,0,0,0,1,1,0
"OK",Jun 2017,20.0960454,23.7490517,1065.85826,49326.3836666667,10363.8923333333,0.845414443333333,3931104.3,57.3089046666667,124519.983,2017,1.9827778,6,0,0,0,1,1,0
"OK",Jul 2017,67.6511348,77.6739095,1096.98584,49321.734516129,10376.4183870968,0.864463332258064,3931682.51612903,57.317334516129,128651.726,2017,1.65534551612903,7,0,0,0,1,1,1
"OK",Aug 2017,452.8973065,512.1971466,1166.95994,49314.8819354839,10388.6980645161,0.883780748387097,3932440.06451613,57.3283767741936,128626.944,2017,2.16787538709677,8,0,0,0,1,1,1
"OK",Sep 2017,497.3023766,550.3238219,1061.22635,49306.5993333333,10400.6586666667,0.902779356666667,3933185.3,57.3392426666667,124454.1,2017,1.9669748,9,0,0,0,1,1,1
"OK",Okt 2017,442.5606362,480.2260775,1050.34898,49284.7932258065,10411.6025806452,0.921770722580645,3933930.61290323,57.3501070967742,128578.207,2017,2.12595829032258,10,0,0,0,1,1,1
"OK",Nov 2017,412.4840097,438.2170927,1050.91247,49259.9703333333,10422.3163333333,0.940754936666667,3934675.9,57.3609726666667,124406.955,2017,2.09112166666667,11,0,0,0,1,1,1
"OK",Dez 2017,479.4967084,504.8654266,957.45787,49235.1567741936,10433.0261290323,0.9497481,3935421.19354839,57.3718370967742,128529.507,2017,2.20242822580645,12,0,0,0,1,1,1
"OK",Jan 2018,449.9284063,473.7634454,971.24656,49209.945483871,10443.9070967742,0.949690238709677,3936178.67741935,57.3828806451613,127828.609,2018,2.20784829032258,1,0,0,0,1,1,1
"OK",Feb 2018,394.4722681,415.3936581,842.79519,49185.9635714286,10454.2578571429,0.949635207142857,3936899.53571429,57.3933892857143,115436.958,2018,2.13569314285714,2,0,0,0,1,1,1
